frequency,variable,nonmissing,mean,sd,min,max
quarterly,ident_s_u1,135,-0.3386463703703703,1.4272379610243577,-7.03333,3.9860100000000003
quarterly,ident_s_u2,135,-0.021881481481481484,1.3207181382120359,-3.28102,3.5912
quarterly,ident_s_u3,135,-0.0836957777777778,1.489438051785026,-10.60636,4.13147
quarterly,ident_s_u4,135,0.02739266666666668,1.2632777156608812,-4.889640000000001,6.50845
quarterly,ident_s_event_count,135,2.2,0.8177143244543994,1.0,8.0
quarterly,mps_STMT,130,-2.5193522481878552e-17,0.05471683589673785,-0.2942379211496471,0.1283802506707219
quarterly,mps_PC,118,-4.130994040249854e-18,0.027635621159410415,-0.20788898654308618,0.0808782114853298
quarterly,mps_ME,130,-2.3058478203753253e-17,0.06222871325891231,-0.31245114891169595,0.1398189504654789
quarterly,mps_event_count,130,2.123076923076923,0.5842292294010827,1.0,6.0
quarterly,mps_minutes_MIN,86,-3.1467077006090918e-18,0.02339178518542577,-0.0677941742938151,0.061706135501642397
quarterly,mps_minutes_event_count,86,1.9883720930232558,0.18750284995554087,1.0,3.0
quarterly,bs_m_MPS,144,-1.1564823173178714e-17,0.09978853371855322,-0.40534597476611184,0.2734728985715419
quarterly,bs_m_MPS_ORTH_x,144,-1.3877787807814457e-17,0.07894308169318254,-0.3466202198025136,0.22026591156967346
quarterly,bs_m_NFP_SURP,144,0.05161805555555557,0.8179992433915815,-0.646,9.408000000000001
quarterly,bs_m_NFP_12M,144,0.024231851057057816,0.047004068720123325,-0.2432892603124479,0.10244919843564304
quarterly,bs_m_SP500_3M,144,0.0389725893744077,0.12997688232560975,-0.5941766953918073,0.3888833306189836
quarterly,bs_m_SLOPE_3M,144,-0.0985416666666667,0.9286775082533573,-3.0700000000000003,4.1
quarterly,bs_m_BCOM_3M,144,0.024975551420919444,0.14545869584444554,-0.7520736150096159,0.5089934829373295
quarterly,bs_m_TR_SKEW,144,0.2528713837560386,0.5716830844617738,-1.2610862608695654,1.4660136086956523
quarterly,bs_fomc_Unscheduled,144,0.4722222222222222,1.3219208552234734,0.0,9.0
quarterly,bs_fomc_FF1,122,-0.0030204918032786885,0.03113509602867491,-0.33949999999999997,0.02
quarterly,bs_fomc_FF2,122,-0.003377049180327869,0.02737483246300745,-0.2705,0.0375
quarterly,bs_fomc_ED1,144,-0.02493229166666667,0.10132309680650206,-0.56375,0.2075
quarterly,bs_fomc_ED2,144,-0.024774305555555556,0.10386117061612646,-0.4375,0.195
quarterly,bs_fomc_ED3,144,-0.01998263888888889,0.1008614540509271,-0.3725,0.21
quarterly,bs_fomc_ED4,144,-0.020868750000000214,0.10050395495036175,-0.3575,0.2025
quarterly,bs_fomc_SP500,143,0.04180453413190023,0.9463743196758578,-6.3409699999999996,3.1691100000000003
quarterly,bs_fomc_SP500 emini,129,0.10613135348837209,0.9993899701850718,-4.48741,5.407063
quarterly,bs_fomc_TNOTE02,138,-0.016178141384439036,0.07686431877234293,-0.32712542721856336,0.20480233053280075
quarterly,bs_fomc_TNOTE05,142,-0.011659251518860088,0.07322851243528297,-0.32999865216971364,0.15917499683360686
quarterly,bs_fomc_TNOTE10,144,-0.006251666377267383,0.05778763736437102,-0.281465557820547,0.14876131705607418
quarterly,bs_fomc_TBOND,144,-0.00026526408465022685,0.05054362533486671,-0.2997425244950353,0.14072088859606435
quarterly,bs_fomc_MPS,144,3.854941057726238e-19,0.09978813855543818,-0.4053348700183342,0.2734725481586818
quarterly,bs_fomc_MPS_ORTH,143,1.552759475000219e-17,0.06844493944834716,-0.24817167413604707,0.1925096015387745
quarterly,bs_fomc_NFP_SURP,144,42.076388888888886,832.983720572807,-918.0,9408.0
quarterly,bs_fomc_NFP_12M,144,3.0968571603926573,6.456412718698721,-24.32892603124479,37.90984322023796
quarterly,bs_fomc_SP500_3M,144,0.03381267377803123,0.18941672596965795,-0.9737119931040974,0.691141662730387
quarterly,bs_fomc_SLOPE_3M,144,0.003478941090015132,1.1532704968511804,-5.585853078271657,4.153483262733057
quarterly,bs_fomc_BCOM_3M,144,0.01987243281255606,0.21412227978104195,-1.1801581217562287,0.6906474267241336
