date,IPP_qi,HT_qi,EQP_qi,NRS_qi,RI_qi,D_qi,GDP,IPP_nom,HT_nom,EQP_nom,NRS_nom,RI_nom,D_nom,GDP_nom,DGS1_Q,NHT_qi,NHT_nom,Intangible_qi,Tangible_qi,TI_qi,lTI,lTangible,lIntangible,lIPP,lHT,lNHT,lNRS,lRI,lD,lGDP,Intangible_nom,Tangible_nom,TI_nom,share_TI_IPP,share_GDP_IPP,share_TI_HT,share_GDP_HT,share_TI_NHT,share_GDP_NHT,share_TI_NRS,share_GDP_NRS,share_TI_RI,share_GDP_RI,share_TI_D,share_GDP_D,share_TI_Intangible,share_GDP_Intangible,share_TI_Tangible,share_GDP_Tangible,RR
2009-10-01,65.125,56.584,56.325,64.13,63.367,61.816,16502.754,583.096,288.471,683.287,381.079,391.472,1014.201,14651.249,0.3546774193548387,361.31341994110215,394.81600000000003,19036.56994144645,642.1579162275976,1073.9646984659817,697.9112405316298,646.4834248875359,985.4117141982258,417.63085000735305,403.57262597336893,588.9745780948714,416.0912273160771,414.89432212017067,412.4162230631283,971.1282555051807,871.567,2181.568,3053.135,0.19098271121322835,0.03979838169428422,0.09448353905084446,0.019689174622586784,0.12931495004315235,0.026947600167057432,0.12481564031724768,0.026010000922105685,0.1282196823920331,0.02671936024020887,0.332183476983494,0.06922283554118834,0.2854662502640728,0.059487556316871006,0.7145337497359272,0.14889979687056035,
2010-01-01,64.026,59.28,60.307,64.587,61.323,62.572,16582.71,571.363,298.266,719.807,358.384,379.435,1021.085,14764.61,0.3645901639344262,393.05802781452087,421.541,19113.240786990333,652.6770792243792,1087.7533950632426,699.186974277564,648.1082488162878,985.8136608779345,415.9289250862483,408.22719809878316,597.3957254441624,416.8013152147301,411.61549764859495,413.6317893699524,971.6115865272487,869.6290000000001,2180.4449999999997,3050.0739999999996,0.18732758615036885,0.03869814373694937,0.09778975854356323,0.020201414056991687,0.1382068107200022,0.02855077106676031,0.11750009999757385,0.024273177550913978,0.12440189975718624,0.02569895175016475,0.3347738448313058,0.06915760050553316,0.2851173446939321,0.05889955779394106,0.714882655306068,0.14768050087337217,
2010-04-01,63.707,61.256,64.236,66.714,64.509,64.544,16743.162,569.998,305.269,763.672,371.635,396.341,1043.901,14980.193,0.37828125,427.74628356430236,458.403,19266.07784790128,682.7325007892298,1125.885439799175,702.6325062670376,652.6103129544542,986.6101203997731,415.4294446650532,411.50618038108223,605.8530224398621,420.0414825949167,416.6804748951361,416.7347161771802,972.5745215095095,875.267,2270.2799999999997,3145.5469999999996,0.18120791073857748,0.03805011056933646,0.09704798561267723,0.020378175367967558,0.14573077432955225,0.03060060708163106,0.11814638280718745,0.024808425365414184,0.12600066061642062,0.026457669804387702,0.33186628589558514,0.06968541727065868,0.2782558963512547,0.058428285937304016,0.7217441036487454,0.1515521195220916,
2010-07-01,64.943,63.368,67.695,68.53,58.793,65.558,16872.266,578.778,312.194,804.497,369.114,361.234,1052.423,15141.607,0.26890625,456.38320437482855,492.30299999999994,19740.69037327002,688.5266048819443,1140.4703652510823,703.9196057389556,653.4553959225975,989.0437285692536,417.3509962096742,414.89590021619784,612.3332817080338,422.7271605597732,407.4022800198803,418.2935247003954,973.3426487800099,890.972,2275.0739999999996,3166.0459999999994,0.18280783033474565,0.0382243443512964,0.09860690590092502,0.020618287081417448,0.15549458220126935,0.032513259655992915,0.1165851664821042,0.02437746535093666,0.11409625760333238,0.02385704502831172,0.33240925747762357,0.06950537020277966,0.28141473623567065,0.05884263143271384,0.7185852637643294,0.15025314023802094,
2010-10-01,66.159,63.981,69.068,69.874,59.766,67.393,16960.864,592.54,314.326,820.133,378.767,369.289,1078.441,15309.474,0.2591935483870968,468.73622282161074,505.807,20047.53297853906,705.4674534249302,1165.6137440239963,706.1003046184159,655.8860637592198,990.586138169986,419.206093572817,415.8586164283565,615.0040185538791,424.66936201027306,409.04369373910833,421.0541154957926,973.866385144455,906.866,2332.304,3239.17,0.18292957763871606,0.038704138365563696,0.09703905630145995,0.02053146959849829,0.15615327383249414,0.033038822888363115,0.11693335021008468,0.024740693246547856,0.11400729199146695,0.024121599474939505,0.33293745002577824,0.07044272063168205,0.279968633940176,0.05923560796406199,0.720031366059824,0.15234383624153253,
2011-01-01,66.832,62.789,70.778,69.795,59.563,67.983,16920.632,603.092,307.656,839.817,352.96,368.767,1087.927,15351.448,0.2720967741935484,493.43048003112887,532.1610000000001,20049.430721602872,715.7301148560699,1177.829500685635,707.1428617476156,657.3303161344396,990.5956039394116,420.21820077548193,413.9779898896314,620.1381977686071,424.55623739647217,408.70345759227337,421.92576739208977,973.62889847085,910.748,2341.815,3252.563,0.1854205437373542,0.039285675201453304,0.09458879044003145,0.020040845658337896,0.16361281856800317,0.03466519900924005,0.10851749835437467,0.022991967923807578,0.11337735810190301,0.024021642779234895,0.33448299079833343,0.07086803798573267,0.28000933417738566,0.05932652085979121,0.7199906658226144,0.1525468476980152,
2011-04-01,67.926,64.754,71.757,71.614,60.238,67.503,17035.114,615.066,314.052,854.272,382.382,374.296,1082.903,15557.539,0.20412698412698413,495.34065457004067,540.22,20478.23064613589,718.0517966335178,1187.5953139460705,707.9685797063422,657.654170660435,992.7117681189602,421.84188773240277,417.05954747333607,620.5245716924405,427.12905855792155,409.830338240928,421.2172041335304,974.3032022177166,929.118,2379.8010000000004,3308.9190000000003,0.18588125003966552,0.039534916158654655,0.09491075484168697,0.020186483222057166,0.16326177824238067,0.0347240010132708,0.11556100345762467,0.02457856605726651,0.11311730507757971,0.02405881804313651,0.3272679083410624,0.06960631755446668,0.2807920048813525,0.059721399380711825,0.7192079951186475,0.15296770266814053,
2011-07-01,69.303,66.072,76.073,74.982,61.324,68.102,17031.313,628.06,316.505,904.533,409.982,381.117,1090.755,15647.68,0.13343750000000001,536.9445837719248,588.028,20893.933427800646,741.7883379340204,1222.5803826624713,710.8718971876552,660.9063943624307,994.7214129204987,423.848819530216,419.0745056508416,628.5894893228349,431.7248084731702,411.61712834482074,422.1006581299843,974.2808869921381,944.5649999999999,2469.882,3414.447,0.18394193847495655,0.04013757950060328,0.09269583039361864,0.020226960162784514,0.17221763875672985,0.037579244974334854,0.12007273798656122,0.0262008169901225,0.11161895323020096,0.024356134583529317,0.3194529011579328,0.06970713869404283,0.27663776886857516,0.0603645396633878,0.7233622311314248,0.15784333524202948,
2011-10-01,70.89,66.357,77.829,76.91,62.915,69.734,17222.583,640.716,315.026,926.474,430.17,391.162,1112.409,15842.259,0.1139344262295082,554.8412718349232,611.4480000000001,21241.475773937833,761.6556977723586,1251.879830317771,713.2401564879156,663.5494613382351,996.3710953824385,426.1129379866926,419.5049256343733,631.8682076147749,434.26359070689625,414.1784609043931,424.4688003706405,975.3976766732845,955.742,2545.1890000000003,3500.9310000000005,0.1830130328189844,0.040443474633257794,0.08998349296230058,0.01988516915422226,0.17465297088117418,0.03859601083406098,0.12287303005971839,0.02715332453534562,0.1117308510221995,0.024691049426726328,0.31774662225562283,0.07021782688946065,0.27299652578128497,0.060328643787480055,0.7270034742187149,0.1606582116855936,
2012-01-01,71.037,70.159,80.253,78.887,66.721,71.439,17367.01,645.438,330.985,957.835,456.99,414.107,1138.093,16068.805,0.1564516129032258,564.787015713176,626.85,21665.232039324837,783.3949242272215,1284.6655109838816,715.8253660708403,666.3636942052228,998.3464044447826,426.32008680624847,425.07640948266607,633.6448696738389,436.8016448750516,420.0519745947765,426.8843938709916,976.2327708551636,976.423,2636.04,3612.4629999999997,0.17866978845181253,0.040167143729729744,0.09162308375199968,0.02059798472879595,0.1735242686222669,0.03901036822588861,0.12650371782354589,0.02843957593610726,0.11463286959617304,0.0257708647282732,0.3150462717542021,0.07082623754535575,0.2702928722038122,0.0607651284585257,0.7297071277961878,0.1640470464356248,
2012-04-01,71.946,71.48,82.517,80.67,67.293,71.574,17444.525,653.729,333.584,984.355,474.629,419.287,1133.557,16207.115,0.188125,583.5376452108801,650.771,21986.67950615606,794.2786859919961,1302.8411221936017,717.2302637375532,667.7434389578938,999.8192071972328,427.5915837625351,426.9417690291227,636.9108965859549,439.0366758948883,420.9056219353998,427.0731879527863,976.6781124817959,987.3130000000001,2678.244,3665.5570000000002,0.17834370056174273,0.04033592653596893,0.09100499596650659,0.020582565126489198,0.17753672907009765,0.040153414102386514,0.12948345913049503,0.029285224421496364,0.114385617247256,0.02587055129799474,0.30924549802390194,0.06994193599539461,0.26934869652824933,0.06091849166245813,0.7306513034717507,0.16525112581727225,
2012-07-01,72.085,70.165,82.276,80.404,69.021,72.502,17469.65,656.953,325.893,984.294,471.427,433.74,1141.673,16319.541,0.18190476190476193,586.5176462744766,658.4010000000001,21877.116647077244,802.3207710837203,1310.7014537834884,717.8317733790589,668.7508491847045,999.3196467554017,427.78459782638674,425.0849611203099,637.4202755065426,438.706392619115,423.44108061189417,428.36141476870336,976.8220368582821,982.846,2705.241,3688.087,0.17812839013830203,0.04025560522811273,0.08836369640954782,0.01996949546558938,0.178521005605345,0.04034433321378341,0.12782426228014687,0.028887270787824243,0.11760568554917496,0.02657795338729196,0.30955696001748334,0.06995742098383773,0.2664920865478499,0.06022510069370211,0.7335079134521502,0.16576697837273732,
2012-10-01,73.499,72.204,83.914,81.279,72.617,74.146,17489.852,666.645,334.479,1007.118,461.778,460.926,1163.561,16420.419,0.1722950819672131,595.555292842412,672.6390000000001,22374.550875726552,821.1632628905636,1341.2221507732047,720.1336530093333,671.0721948258278,1001.5679470348372,429.7271800684059,427.9495446026215,638.9494235605715,439.78876806048805,428.51990541992427,430.60361224221975,976.9376105998571,1001.124,2758.904,3760.0280000000002,0.17729788182428427,0.04059853771088301,0.08895651840890545,0.020369699457730032,0.17889201888922107,0.040963571027024345,0.12281238331203917,0.02812218129147618,0.12258578925476085,0.028070294673966597,0.30945540831078916,0.0708606156761286,0.26625440023318975,0.06096823716861305,0.7337455997668102,0.16801666266859572,
2013-01-01,75.94,75.285,85.664,82.532,75.378,76.008,17662.4,685.536,346.48,1026.153,450.899,485.878,1189.742,16648.189,0.14983333333333335,601.6161786013746,679.673,23188.13830911781,839.1974193288399,1375.793819183781,722.6786166556587,673.2445981921068,1005.1396147126923,432.99435548036564,432.12809117750066,639.9619664895996,441.3186096922983,432.25154552503363,433.0838597904449,977.9193365264086,1032.016,2806.192,3838.208,0.17860835056359634,0.04117781219326619,0.09027129327019276,0.020811873291443295,0.1770808147969052,0.0408256417559892,0.11747643692056292,0.02708396691075528,0.12658980440872405,0.029185036282324765,0.30997330004001866,0.07146374899996631,0.2688796438337891,0.06198968548470949,0.7311203561662108,0.16855839394903555,
2013-04-01,75.638,75.344,85.812,82.958,77.923,76.379,17709.671,684.351,342.3,1025.121,465.575,508.92,1187.617,16728.687,0.12796875,602.9452965759202,682.8210000000001,23132.92499729825,846.932935507367,1384.1667190805083,723.2853590686052,674.1621512659352,1004.9012206257379,432.59588024041983,432.20642935011983,640.1826473832419,441.83344556268116,435.57211596198283,433.5707789279089,978.1866153529224,1026.651,2844.933,3871.584,0.1767625344045228,0.04090882924643159,0.08841342458280642,0.02046185692875956,0.17636734731830697,0.040817369587941965,0.12025439716663774,0.027830934968177713,0.1314500731483548,0.030421993070944536,0.30675222337937136,0.07099284002384645,0.26517595898732926,0.061370686175191154,0.7348240410126708,0.17006313765091066,
2013-07-01,77.216,76.343,86.041,84.484,79.335,77.076,17860.45,699.087,344.613,1026.188,490.149,524.946,1191.933,16953.838,0.1225,601.3784074269948,681.575,23556.746724602497,854.9000956738919,1400.4490053864413,724.4548182317455,675.098461494456,1006.7167543536663,434.66066894426206,433.52363444228564,639.9224366063836,443.65621673218953,437.3679393186053,434.47919480636557,979.0344050081721,1043.7,2888.603,3932.303,0.1777805525159175,0.04123473398766698,0.08763643086506813,0.02032654788844862,0.17332718256960364,0.040201811530816804,0.12464680366696056,0.02891079884094681,0.13349581657364654,0.030963254456011672,0.3031132138088036,0.07030461185249028,0.2654169833809857,0.061561281876115606,0.7345830166190144,0.17038047668026557,
2013-10-01,77.948,77.606,89.564,86.512,78.075,77.866,18016.147,709.421,345.663,1063.537,500.793,526.407,1197.851,17192.019,0.1253225806451613,633.5554951748281,717.874,23834.877174011064,870.0987564743295,1423.1221830929808,726.060845743474,676.860671839538,1007.8905214448014,435.6041937701888,435.1644743787797,645.1347596831843,446.0283132639649,435.76699031691425,435.49894006054757,979.9023690319984,1055.084,2942.925,3998.009,0.17744357253823093,0.0412645542097179,0.08645878486016415,0.020106015471481272,0.17955787493224754,0.04175623584408556,0.1252605984628849,0.029129388467986222,0.13166728739229952,0.030619265834920265,0.29961188181417303,0.06967482993126055,0.26390235739839507,0.061370569681199166,0.736097642601605,0.1711797200782526,
2014-01-01,78.711,78.218,90.467,87.911,77.74,79.17,17953.974,718.207,344.916,1072.304,526.986,535.27,1207.539,17197.738,0.12049180327868853,640.6141693949514,727.3880000000001,24053.320537365318,880.0951419748436,1438.598613662929,727.1424733761812,678.0030017508656,1008.8028334085104,436.5782916939616,435.94998000922703,646.242735587354,447.6324939068552,435.3369925424077,437.15974391833424,979.5566762170324,1063.123,2997.183,4060.306,0.17688494413967815,0.04176171308110403,0.08494827729732685,0.020055893397143275,0.17914610376656345,0.04229556235825898,0.12978972520790305,0.030642750808274898,0.13182996552476586,0.031124442063252735,0.2974009840637627,0.07021498990157891,0.261833221437005,0.061817606478247314,0.738166778562995,0.1742777451313655,
2014-04-01,80.71,81.281,92.907,90.429,80.291,82.126,18185.911,733.586,355.209,1101.386,553.476,554.134,1244.233,17518.508,0.10301587301587302,654.2218252577458,746.1769999999999,24771.11629069382,907.4438403988429,1482.8380575258807,730.1713136934452,681.0631680366097,1011.7433587705086,439.0862483336281,439.7912286904095,648.3446476299162,450.4565012414125,438.5657534970196,440.8254653290762,980.8402452399473,1088.795,3098.0199999999995,4186.815,0.17521337818843205,0.04187491309191399,0.08483990814019728,0.020276213019967224,0.17822067609865733,0.04259363868201561,0.13219499786830802,0.0315937864114912,0.13235215790523347,0.03163134668774304,0.29717888179917196,0.07102391368032025,0.26005328632862934,0.062151126111881214,0.7399467136713707,0.1768426854615701,
